839 31.8369 64.032 131.125 2.37453 6.498 6.409 4.969 3.98 0.06 0.025 0.015 0.025 18.1 44.3 70.2 42.8 8.309 7.132 6.733 0.024 0.042 0.017 0.216804 1.576 1.764 0.089 1.44 0.989 AGB*
843 267.08 3.06145 28.3926 15.4282 6.021 5.76 5.236 4.682 0.133 0.058 0.013 0.028 8.2 18.8 81.2 39.1 7.61 6.625 6.144 0.029 0.033 0.027 0.280961 1.466 0.908 0.261 0.524 0.554 AGB*
845 82.2025 -69.8003 280.424 -32.4353 10.065 8.469 6.118 5.129 0.023 0.019 0.014 0.025 47.5 56.2 77.3 43.4 15.839 14.573 12.482 -9999 0.065 0.032 0.255868 3.357 6.364 1.596 2.351 0.989 AGB*
846 281.129 -30.6194 4.52905 -12.0706 8.105 7.162 5.527 4.762 0.025 0.02 0.014 0.028 44.3 53.7 75.7 38.2 13.236 11.183 9.612 0.024 0.022 0.021 0.162892 3.624 4.085 0.943 1.635 0.765 AGB*
847 268.293 -5.16549 21.5331 10.4785 6.79 6.554 5.633 4.873 0.073 0.023 0.016 0.034 14.8 47.2 68.5 32 8.592 7.535 7.079 0.021 0.046 0.018 0.088235 1.513 1.446 0.236 0.921 0.76 AGB*
848 79.9258 -66.4557 276.649 -33.8178 9.606 8.052 6.124 5.166 0.023 0.02 0.014 0.024 47.1 53.9 75.6 44.4 17.084 14.813 12.325 -9999 0.091 0.029 0.221632 4.759 6.201 1.554 1.928 0.958 AGB*
851 357.74 48.7812 112.777 -12.8943 6.88 6.81 6.462 6.269 0.061 0.022 0.015 0.048 17.7 49.5 73.7 22.9 8.592 7.475 6.993 0.023 0.026 0.016 0.206474 1.599 0.531 0.07 0.348 0.193 AGB*
855 290.186 -20.5784 17.3818 -15.4573 8.566 8.171 7.196 6.504 0.022 0.019 0.016 0.063 48.8 57.1 67.8 17.2 10.294 9.443 9.011 0.023 0.022 0.023 0.221651 1.283 1.815 0.395 0.975 0.692 AGB*
856 298.809 -9.8862 31.1562 -18.6155 7.325 7.375 6.768 6.095 0.029 0.02 0.017 0.051 37.7 55 65.6 21.4 8.809 7.884 7.535 0.02 0.036 0.023 0.1027 1.274 0.767 -0.05 0.607 0.673 AGB*
857 316.237 57.759 96.2534 7.15019 6.119 5.918 5.303 4.478 0.107 0.045 0.014 0.025 10.2 24.3 77.1 43 7.705 6.615 6.166 0.037 0.046 0.017 0.36647 1.539 0.863 0.201 0.615 0.825 AGB*
858 304.294 23.5622 63.7258 -6.65176 5.321 5.028 4.125 3.08 0.137 0.087 0.014 0.023 8 12.5 77.7 47.9 7.17 6.014 5.473 0.021 0.02 0.017 0.270002 1.697 1.348 0.293 0.903 1.045 AGB*
859 75.1344 -72.1506 283.8 -34.1213 9.814 8.297 6.206 5.313 0.023 0.021 0.016 0.026 48.2 52.3 69.9 41.8 18.435 14.78 12.587 -9999 0.076 0.03 0.164788 5.848 6.381 1.517 2.091 0.893 AGB*
863 347.356 61.8829 111.221 1.35306 6.493 6.128 5.618 5.05 0.076 0.033 0.018 0.043 14.4 32.6 59 25.2 9.91 8.062 7.137 0.019 0.024 0.023 0.077555 2.773 1.519 0.365 0.51 0.568 AGB*
865 82.6197 -9.47228 212.367 -22.2553 7.296 7.142 4.565 3.348 0.036 0.021 0.014 0.024 30.4 51.9 76.5 46.1 10.655 8.784 7.819 0.024 0.024 0.023 0.119891 2.836 3.254 0.154 2.577 1.217 AGB*
869 77.249 -69.1987 280.136 -34.255 10.016 9.003 7.954 7.48 0.022 0.02 0.017 0.089 49.1 53.2 62.1 12.3 14.714 12.873 11.443 0.036 0.028 0.023 0.219221 3.271 3.489 1.013 1.049 0.474 AGB*
879 356.068 66.2591 116.234 4.26473 5.768 5.505 4.804 3.874 0.126 0.047 0.015 0.021 8.6 23.2 73.4 51.1 7.786 6.569 6.028 0.023 0.027 0.024 0.340593 1.758 1.224 0.263 0.701 0.93 AGB*
